file,model_name,task_type,input,timestamp,fallback,job_description_score_AI,job_description_scores,section_name,job_analysis_score_AI,job_analysis_scores,hazard_assessment_score_AI,hazard_assessment_scores,redesign_suggestions_score_AI,redesign_suggestions_scores,total_AI
batch_reports\repetitive\Throughout_the_shift__the_packaging_work_22.json,unknown,repetitive,"Throughout the shift, the packaging worker continuously rotates the parts box 90 degrees clockwise as they move it to a new storage location in the warehouse aisle, repeatedly performing this motion for most of the shift to ensure efficient storage and retrieval of components.",2025-12-12 00:30:49,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.7}",redesign_suggestions,8.8,"{'structure': 9.0, 'coherence': 9.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 8.5}",9.2,"{'structure': 9.0, 'coherence': 10.0, 'style': 8.0, 'semantic_alignment': 3.0}",7.9
batch_reports\repetitive\Throughout_the_shift__the_punch_press_op_27.json,unknown,repetitive,"Throughout the shift, the punch press operator continually lifts the metal blanks from the warehouse aisle to a designated storage area, repeating this task continuously as new blanks are replenished and old ones need to be removed.",2025-12-12 00:38:39,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.85}",redesign_suggestions,8.8,"{'structure': 9.0, 'coherence': 9.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 8.5}",7.6000000000000005,"{'structure': 8.0, 'coherence': 7.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.525
batch_reports\single\A_dishroom_worker_lifts_a_full_plate_rac_15 - Copia.json,unknown,single,A dishroom worker lifts a full plate rack off the floor to load it onto a nearby shelving unit.,2025-12-12 00:22:47,False,7.6,"{'structure': 7.5, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",redesign_suggestions,6.800000000000001,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 3.2350000000000003}",7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.79}",7.800000000000001,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 2.85}",7.3500000000000005
batch_reports\single\A_dishroom_worker_lifts_a_full_plate_rac_15.json,unknown,single,A dishroom worker lifts a full plate rack off the floor to load it onto a nearby shelving unit.,2025-12-12 00:22:47,False,7.6,"{'structure': 7.5, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",redesign_suggestions,6.800000000000001,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 3.2350000000000003}",7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.79}",7.800000000000001,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 2.85}",7.3500000000000005
batch_reports\single\A_dishroom_worker_pulls_a_glass_rack_str_11.json,unknown,single,A dishroom worker pulls a glass rack straight off its position on the packaging line.,2025-12-12 00:22:40,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.5}",redesign_suggestions,8.3,"{'structure': 8.5, 'coherence': 8.5, 'style': 7.5, 'semantic_alignment': 3.0}",7.0,"{'structure': 6.5, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.7}",8.0,"{'structure': 8.0, 'coherence': 8.0, 'style': 8.0, 'semantic_alignment': 3.0}",7.525
batch_reports\single\A_warehouse_worker_carries_a_flatware_tr_17.json,unknown,single,A warehouse worker carries a flatware tray at the press station.,2025-12-12 02:11:53,False,6.9,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.5, 'semantic_alignment': 2.85}",redesign_suggestions,8.1,"{'structure': 8.5, 'coherence': 8.0, 'style': 7.5, 'semantic_alignment': 3.0}",5.9,"{'structure': 5.5, 'coherence': 7.0, 'style': 4.5, 'semantic_alignment': 2.85}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 2.85}",6.875
batch_reports\single\The_dishroom_worker_pushes_the_flatware__6.json,unknown,single,The dishroom worker pushes the flatware tray along the shipping dock floor.,2025-12-12 00:06:23,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.25}",redesign_suggestions,7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",6.800000000000001,"{'structure': 6.5, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 2.6}",6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 3.0}",7.05
batch_reports\single\The_order_picker_lifts_the_glass_rack_of_16 - Copia.json,unknown,single,The order picker lifts the glass rack off the press station floor.,2025-12-12 00:22:50,False,7.6,"{'structure': 7.5, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",redesign_suggestions,7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",6.800000000000001,"{'structure': 6.5, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 2.7}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.55
batch_reports\single\The_order_picker_lifts_the_glass_rack_of_16.json,unknown,single,The order picker lifts the glass rack off the press station floor.,2025-12-12 00:22:50,False,7.6,"{'structure': 7.5, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",redesign_suggestions,7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",6.800000000000001,"{'structure': 6.5, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 2.7}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.55
batch_reports\single\The_order_picker_lifts_the_plate_rack_to_10.json,unknown,single,The order picker lifts the plate rack to remove a tray from the packaging line.,2025-12-12 00:22:53,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 3.0}",redesign_suggestions,7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 2.5}",7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.7}",6.7,"{'structure': 6.5, 'coherence': 7.0, 'style': 6.5, 'semantic_alignment': 3.0}",7.199999999999999
batch_reports\single\The_order_picker_pulls_on_the_handles_of_18 - Copia.json,unknown,single,The order picker pulls on the handles of a glass rack to lower it down from its storage position at the top of the warehouse aisle.,2025-12-12 02:11:56,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.5}",redesign_suggestions,7.6000000000000005,"{'structure': 8.0, 'coherence': 7.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.7}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 3.275}",7.050000000000001
batch_reports\single\The_order_picker_pulls_on_the_handles_of_18.json,unknown,single,The order picker pulls on the handles of a glass rack to lower it down from its storage position at the top of the warehouse aisle.,2025-12-12 02:11:56,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.5}",redesign_suggestions,7.6000000000000005,"{'structure': 8.0, 'coherence': 7.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.7}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 3.275}",7.050000000000001
batch_reports\single\The_order_picker_pulls_the_glass_rack_fr_13 - Copia.json,unknown,single,The order picker pulls the glass rack from its position against the shipping dock wall.,2025-12-12 00:22:57,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.5}",redesign_suggestions,7.3999999999999995,"{'structure': 8.0, 'coherence': 8.0, 'style': 5.0, 'semantic_alignment': 3.2350000000000003}",7.699999999999999,"{'structure': 7.5, 'coherence': 8.5, 'style': 6.5, 'semantic_alignment': 3.65}",7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.5
batch_reports\single\The_order_picker_pulls_the_glass_rack_fr_13.json,unknown,single,The order picker pulls the glass rack from its position against the shipping dock wall.,2025-12-12 00:22:57,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.5}",redesign_suggestions,7.3999999999999995,"{'structure': 8.0, 'coherence': 8.0, 'style': 5.0, 'semantic_alignment': 3.2350000000000003}",7.699999999999999,"{'structure': 7.5, 'coherence': 8.5, 'style': 6.5, 'semantic_alignment': 3.65}",7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.5
batch_reports\single\The_packaging_worker_pushes_the_flatware_3 - Copia.json,unknown,single,"The packaging worker pushes the flatware tray across the packaging line, moving it to its designated spot for wrapping and boxing.",2025-12-12 00:06:47,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.5}",redesign_suggestions,7.199999999999999,"{'structure': 8.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 3.3}",4.4,"{'structure': 4.5, 'coherence': 4.5, 'style': 4.0, 'semantic_alignment': 2.6}",8.3,"{'structure': 8.5, 'coherence': 8.5, 'style': 7.5, 'semantic_alignment': 3.925}",6.75
batch_reports\single\The_packaging_worker_pushes_the_flatware_3.json,unknown,single,"The packaging worker pushes the flatware tray across the packaging line, moving it to its designated spot for wrapping and boxing.",2025-12-12 00:06:47,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.5}",redesign_suggestions,7.199999999999999,"{'structure': 8.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 3.3}",4.4,"{'structure': 4.5, 'coherence': 4.5, 'style': 4.0, 'semantic_alignment': 2.6}",8.3,"{'structure': 8.5, 'coherence': 8.5, 'style': 7.5, 'semantic_alignment': 3.925}",6.75
batch_reports\single\The_punch_press_operator_carefully_carri_5 - Copia.json,unknown,single,The punch press operator carefully carries a glass rack down the warehouse aisle to the designated storage area.,2025-12-12 00:06:27,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 5.6}",redesign_suggestions,6.4,"{'structure': 8.0, 'coherence': 4.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.3,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.5, 'semantic_alignment': 2.785}",9.2,"{'structure': 9.0, 'coherence': 10.0, 'style': 8.0, 'semantic_alignment': 3.0}",7.5
batch_reports\single\The_punch_press_operator_carefully_carri_5.json,unknown,single,The punch press operator carefully carries a glass rack down the warehouse aisle to the designated storage area.,2025-12-12 00:06:27,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 5.6}",redesign_suggestions,6.4,"{'structure': 8.0, 'coherence': 4.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.3,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.5, 'semantic_alignment': 2.785}",9.2,"{'structure': 9.0, 'coherence': 10.0, 'style': 8.0, 'semantic_alignment': 3.0}",7.5
batch_reports\single\The_punch_press_operator_carries_the_gla_9 - Copia.json,unknown,single,The punch press operator carries the glass rack across the press station to load it onto the machine.,2025-12-12 00:23:03,False,7.3,"{'structure': 7.5, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.85}",redesign_suggestions,6.2,"{'structure': 6.5, 'coherence': 6.5, 'style': 5.0, 'semantic_alignment': 3.0}",7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.7}",8.100000000000001,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.5, 'semantic_alignment': 2.85}",7.2
batch_reports\single\The_punch_press_operator_carries_the_gla_9.json,unknown,single,The punch press operator carries the glass rack across the press station to load it onto the machine.,2025-12-12 00:23:03,False,7.3,"{'structure': 7.5, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.85}",redesign_suggestions,6.2,"{'structure': 6.5, 'coherence': 6.5, 'style': 5.0, 'semantic_alignment': 3.0}",7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.7}",8.100000000000001,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.5, 'semantic_alignment': 2.85}",7.2
batch_reports\single\The_punch_press_operator_lifts_the_15kg__4.json,unknown,single,The punch press operator lifts the 25kg parts box from the packing tray on the packaging line to a designated storage area.,2025-12-12 00:06:37,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 5.75}",redesign_suggestions,7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.7}",6.7,"{'structure': 6.5, 'coherence': 7.0, 'style': 6.5, 'semantic_alignment': 2.85}",7.125
batch_reports\single\The_punch_press_operator_lifts_the_25kg__4.json,unknown,single,The punch press operator lifts the 25kg parts box from the packing tray on the packaging line to a designated storage area.,2025-12-12 00:06:37,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 5.75}",redesign_suggestions,7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 2.7}",6.7,"{'structure': 6.5, 'coherence': 7.0, 'style': 6.5, 'semantic_alignment': 2.85}",7.125
